path,label,text
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Banner aplicación\20260503093245_100166.png,Banner aplicación,"No se ha podido iniciar
sesión
Alguno de los datos
introducidos es incorrecto.
Por razones de seguridad, tu
acceso se bloqueará al tercer
intento.

* No dejes espacios en blanco
en tu identificador ni en tu
contraseña.

* Tu contraseña tiene un máximo
de 10 dígitos y puede contener
números y letras.

Volver a intentarlo
E"
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Banner aplicación\20260519212756_100051.png,Banner aplicación,"Firma
Activa de nuevo tu firma
Para poder realizar operaciones, vuelve a
activar la firma en este dispositivo."
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Banner aplicación\20260519212944_100051.png,Banner aplicación,"Firma
Activa de nuevo tu firma
Para poder realizar operaciones, vuelve a
activar la firma en este dispositivo."
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Banner aplicación\20260520124119_100126.png,Banner aplicación,"LoT;—————;;———L];],""""—;o;;.—]]Íz;;—”,;]”—.írTÚ]L];D——;;;—;o]—;]o]LD];—;];—,—.I .í—]]—;];];];];TLLL N ]—DDo;í;oSpLL_FD;;;Ñ];Tí]_.]z D LD—;;——”——;,;,—z—K]—;];——;————;—É;——”T;————;;;;,];;;———;—;—;—;—;—;];—..—;—]——];;];];T;—;]
l = 9:41 AM X100% m
X CaixaBankNow g
Mis Cuentas >
O
Total: 32.568,66€
CUENTA ESTRELLA
11.050,28€
Últimos movimientos Ver todo
27 Dic Internet -82,60€
27 Dic Alojamiento -60,00€
26 Dic Comida -22,40€
Mis Tarjetas Ver todas
¡Bienvenido!
Te damos la bienvenida a la app
CaixaBankNow.
9 O C oco
[ m T S"
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Banner aplicación\20260520190000_100098.png,Banner aplicación,"MEN'S TRENDS TEMU CATEGORIES 24/7 CUSTOMER SERVICE

1230 NZ 1230 '4. (Iliº Customer Servco 94.B
p ]_ ey (

D a EN toachen e What can we do for you?
PCE Temu- Shop Like a Billionaire
TEMU WhaleCo, Inc.

al. — 1 Compras >

5,0% 3M+

Valoración Descargas 21,9 MB

Instalar
shop on Temu for amazing offers Más
Y Versión oficial - Y) Sin virus Informe
Aplicaciones que podrían gustarte >

_ ShortMax - Watch Dramas € Sh...

b 42 Aplicaciones de vídeo Instalar

TV 49Xx 48 MB
ME ... . '"
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Banner aplicación\20260520200706_100193.png,Banner aplicación,"Información sobre los
Datos mostrados en
CaixaBank Broker
Los datos que mostramos
en CaixaBank Broker
son proporcionados por
Proveedores de Datos. Debes
saber que:
* Los datos solo pueden
utilizarse dentro de
CaixaBank Broker
* No se pueden distribuir, ni
publicar ni utilizar para otros
fines.
* El uso de los datos sin el
permiso de los proveedores
podría conllevar sanciones.
* No nos hacemos
responsables de ningún daño
o perjuicio derivado del uso
de la información.

Aceptar condiciones"
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Banner aplicación\20260521003212_100168.png,Banner aplicación,"Activar firma X

Usa el código imagin 535341 para autorizar la

operación en imaginBank.

5 [s)s)s la)
Olvídate de códigos y SWMS
que no llegan
Con la nueva forma de firmar tus operaciones,
no necesitarás tener cobertura.

O
Activar firma"
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Banner aplicación\20260521030904_100168.png,Banner aplicación,"Activar firma X

Usa el código imagin 535341 para autorizar la

operación en imaginBank.

5 [s)s)s la)
Olvídate de códigos y SWMS
que no llegan
Con la nueva forma de firmar tus operaciones,
no necesitarás tener cobertura.

O
Activar firma"
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Banner aplicación\20260521091342_100168.png,Banner aplicación,"Activar firma X

Usa el código imagin 535341 para autorizar la

operación en imaginBank.

5 [s)s)s la)
Olvídate de códigos y SWMS
que no llegan
Con la nueva forma de firmar tus operaciones,
no necesitarás tener cobertura.

O
Activar firma"
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Banner aplicación\20260521103956_100168.png,Banner aplicación,"Activar firma X

Usa el código imagin 535341 para autorizar la

operación en imaginBank.

5 [s)s)s la)
Olvídate de códigos y SWMS
que no llegan
Con la nueva forma de firmar tus operaciones,
no necesitarás tener cobertura.

O
Activar firma"
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Banner aplicación\20260521120823_100168.png,Banner aplicación,"Activar firma X

Usa el código imagin 535341 para autorizar la

operación en imaginBank.

5 [s)s)s la)
Olvídate de códigos y SWMS
que no llegan
Con la nueva forma de firmar tus operaciones,
no necesitarás tener cobertura.

O
Activar firma"
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Banner aplicación\20260521121717_100168.png,Banner aplicación,"Activar firma X

Usa el código imagin 535341 para autorizar la

operación en imaginBank.

5 [s)s)s la)
Olvídate de códigos y SWMS
que no llegan
Con la nueva forma de firmar tus operaciones,
no necesitarás tener cobertura.

O
Activar firma"
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Banner aplicación\20260521132327_100168.png,Banner aplicación,"Activar firma X

Usa el código imagin 535341 para autorizar la

operación en imaginBank.

5 [s)s)s la)
Olvídate de códigos y SWMS
que no llegan
Con la nueva forma de firmar tus operaciones,
no necesitarás tener cobertura.

O
Activar firma"
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Banner aplicación\20260521150512_100168.png,Banner aplicación,"Activar firma X

Usa el código imagin 535341 para autorizar la

operación en imaginBank.

5 [s)s)s la)
Olvídate de códigos y SWMS
que no llegan
Con la nueva forma de firmar tus operaciones,
no necesitarás tener cobertura.

O
Activar firma"
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Banner aplicación\20260521155111_100168.png,Banner aplicación,"Activar firma X

Usa el código imagin 535341 para autorizar la

operación en imaginBank.

5 [s)s)s la)
Olvídate de códigos y SWMS
que no llegan
Con la nueva forma de firmar tus operaciones,
no necesitarás tener cobertura.

O
Activar firma"
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Banner aplicación\20260521161522_100168.png,Banner aplicación,"Activar firma X

Usa el código imagin 535341 para autorizar la

operación en imaginBank.

5 [s)s)s la)
Olvídate de códigos y SWMS
que no llegan
Con la nueva forma de firmar tus operaciones,
no necesitarás tener cobertura.

O
Activar firma"
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Banner aplicación\20260521171720_100201.png,Banner aplicación,"Notificaciones
ñ
Activa las notificaciones en tu móvil
Recibe avisos al instante y de la forma
más segura.

Y Finaliza fácilmente tus compras online.

V Recibe mensajes con total seguridad
protegiéndote ante posibles fraudes.

V Activa alertas para enterarte de los
movimientos en tus cuentas y tarjetas.
Acepta el permiso en la siguiente pantalla para

recibir las notificaciones
Más tarde"
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Banner aplicación\20260521175600_100200.png,Banner aplicación,"Notificaciones
ñ
Activa las notificaciones en tu móvil
Recibe avisos al instante y de la forma
más segura.

Y Finaliza fácilmente tus compras online.

V Recibe mensajes con total seguridad
protegiéndote ante posibles fraudes.

V Activa alertas para enterarte de los
movimientos en tus cuentas y tarjetas.
Acepta el permiso en la siguiente pantalla para

recibir las notificaciones
Más tarde"
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Banner aplicación\20260521175857_100168.png,Banner aplicación,"Activar firma X

Usa el código imagin 535341 para autorizar la

operación en imaginBank.

5 [s)s)s la)
Olvídate de códigos y SWMS
que no llegan
Con la nueva forma de firmar tus operaciones,
no necesitarás tener cobertura.

O
Activar firma"
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Banner aplicación\20260521215956_100168.png,Banner aplicación,"Activar firma X

Usa el código imagin 535341 para autorizar la

operación en imaginBank.

5 [s)s)s la)
Olvídate de códigos y SWMS
que no llegan
Con la nueva forma de firmar tus operaciones,
no necesitarás tener cobertura.

O
Activar firma"
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Banner aplicación\20260521225809_100048.png,Banner aplicación,"No se ha podido iniciar
sesión

Alguno de los datos introducidos es

incorrecto. Por razones de seguridad,

tu acceso se bloqueará al tercer
intento.

* No dejes espacios en blanco en tu
identificador ni en tu contraseña.

* Tu contraseña tiene un máximo de 10
dígitos y puede contener números y
letras.

Volver a intentarlo"
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Banner aplicación\20260522124223_100145.png,Banner aplicación,"Notificaciones
C—í>
Activa las notificaciones en tu móvil
Recibe avisos al instante y de la forma más
segura.
Y . Finaliza fácilmente tus compras online.
y  Recibe mensajes con total seguridad
protegiéndote ante posibles fraudes.
y — Activaalertas para enterarte de los
movimientos en tus cuentas y tarjetas.
Acepta el permiso en la siguiente pantalla para
recibir las notificaciones
Más tarde
M"
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Banner aplicación\20260524095600_100109.png,Banner aplicación,"< Política de privacidad
POLÍTICA DE
IMAGINERSGEN, S.A.

1.. COMO TRATAMOS TUS
DATOS PERSONALES

Para gestionar tus relaciones con nosotros, en
Imaginersgen, S.A. (en adelante “IMAGIN”) trataremos
tus datos personales para cumplir diferentes finalidades,
siempre de acuerdo con lo establecido por la normativa
vigente, respetando tus derechos y con total
transparencia. Para ello, en esta Política de Privacidad,
a la que puedes acceder en cualquier momento
Ajustes>Información legal>política de privacidad y
http://www.imagin.com/politicaprivacidad, puedes
consultar el detalle completo de cómo utilizaremos tus
datos en las relaciones que establezcamos contigo.

El tratamiento de tus datos puede variar en función del
tipo de cliente que seas.

Hay dos posibilidades:

o Cliente Imagin: lo serás cuando te registres en
nuestra aplicación móvil (“App Imagin”) con un
nombre, número de teléfono y dirección de correo
electrónico. En este caso te aplicará esta política
de privacidad (tratamientos del epigrafe 6).

o Cliente ImaginBank Infinity: Lo serás cuando te
registres en la app de Imagin y, además, contrates"
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Banner aplicación\20260525133317_100168.png,Banner aplicación,"Activar firma X

Usa el código imagin 535341 para autorizar la

operación en imaginBank.

5 [s)s)s la)
Olvídate de códigos y SWMS
que no llegan
Con la nueva forma de firmar tus operaciones,
no necesitarás tener cobertura.

O
Activar firma"
